id,value
id_159,19.422736884251673
id_160,41.28907671666951
id_161,18.203897295366293
id_162,12.279589981848444
id_163,7.728508003906315
id_164,52.487055328585484
id_165,29.36085210047707
id_166,-1.8646487209655664
id_167,16.18181430973035
id_168,62.59312076330655
id_169,12.368254535797888
id_170,63.30735333424593
id_171,39.6085526876461
id_172,26.057492574816965
id_173,19.17807303719728
id_174,60.17996762578442
id_175,23.713183814615476
id_176,20.043271569093132
id_177,36.47397846703584
id_178,11.869740482419692
id_179,29.786204350892238
id_180,16.272904067183177
id_181,10.424665913307908
id_182,53.95532734366903
id_183,45.17205792073637
id_184,15.651728925951641
id_185,33.285179526143565
id_186,24.819070097276725
id_187,68.45724440593413
id_188,9.717625252637887
id_189,57.47102447734975
id_190,37.011825892415544
id_191,14.012908627135674
id_192,27.70750976023646
id_193,-1.2821088809716439
id_194,17.95702485527951
id_195,-0.07781152720020582
id_196,32.57520055242346
id_197,9.49959642116324
id_198,17.054350488036693
id_199,60.28393790609248
id_200,24.82626629054474
id_201,25.17752097635472
id_202,64.32689190367174
id_203,9.50601784840048
id_204,8.02847415546059
id_205,10.364554593924813
id_206,6.72453044989923
id_207,1.6426127267204713
id_208,120.44850257668787
id_209,19.463665179343163
id_210,13.95863015647032
id_211,13.431548416463578
id_212,34.05021506512111
id_213,34.85643502174577
id_214,18.350772890800755
id_215,33.55442811763447
id_216,77.53377231901908
id_217,0.12813388787304167
id_218,11.68136236195594
id_219,31.760307978695746
id_220,14.912300456121942
id_221,12.378452739370166
id_222,114.42470316964295
id_223,12.148257410223987
id_224,15.9503751135945
id_225,62.73869114425461
id_226,15.27802624796548
id_227,18.49883724067172
id_228,10.025991837416164
id_229,4.036736547855777
id_230,44.77968933988732
id_231,13.042264350629365
id_232,50.81844983119483
id_233,42.666839140745616
id_234,24.583722910146562
id_235,41.09999559070273
id_236,67.50301340970518
id_237,41.24030852584132
id_238,11.952296892545945
id_239,16.37525994749309
